Rank,Platform,Firm,Released[2],Units sold,Ref.
1,PlayStation 2,Sony,2000,>155 million,[note 1]
2,Nintendo DS,Nintendo,2004,154.02 million,[17]
3,"Game Boy, Game Boy Color",Nintendo,"1989, 1998",118.69 million,[note 2]
4,PlayStation 4,Sony,2013,102.8 million,[21]
5,PlayStation,Sony,1994,102.49 million,[32]
6,Wii,Nintendo,2006,101.63 million,[17]
7,PlayStation 3,Sony,2006,>87.4 million,[note 1]
8,Xbox 360,Microsoft,2005,>84 million,[note 3]
9,Game Boy Advance,Nintendo,2001,81.51 million,[17]
10,PlayStation Portable,Sony,2004,80–82 million(estimate),[note 1]
11,Nintendo 3DS,Nintendo,2011,75.45 million,[39]
12,Nintendo Entertainment System,Nintendo,1983,61.91 million,[17]
13,Super Nintendo Entertainment System,Nintendo,1990,49.1 million,[17]
14,Xbox One,Microsoft,2013,46.9 million(estimate),[note 3]
15,Nintendo Switch,Nintendo,2017,41.67 million,[39]
16,Sega Genesis,Sega,1988,35 million,[note 4][40]
17,Nintendo 64,Nintendo,1996,32.93 million,[17]
18,Atari 2600,Atari,1977,30 million,[41]
19,Xbox,Microsoft,2001,24 million,[42]
20,GameCube,Nintendo,2001,21.74 million,[17]
21,Wii U,Nintendo,2012,13.56 million,[17]
22,Sega Game Gear,Sega,1990,10.62 million,[43]
23,PlayStation Vita,Sony,2011,10–15 million(estimate),[note 1]
24,Master System,Sega,1986,10–13 million,[note 5]
25,TurboGrafx-16,NEC/Hudson Soft[note 6],1987,10 million,[51]
26,Sega Saturn,Sega,1994,9.26 million,[52]
27,Dreamcast,Sega,1998,9.13 million,[52][53][54][55]
28,Super NES Classic Edition,Nintendo,2017,5.28 million,[56]
29,Sega Pico,Sega,1993,>3.4 million,[note 7]
30,WonderSwan,Bandai,1999,3.5 million,[note 8]
31,Color TV-Game,Nintendo,1977,3 million,[65][66]
32,Intellivision,Mattel,1980,3 million,[67]
33,N-Gage,Nokia,2003,3 million,[68]
34,NES Classic Edition,Nintendo,2016,2.3 million,[69]
35,ColecoVision,Coleco,1982,>2 million,[note 9]
36,Magnavox Odyssey²,Magnavox/Philips,1978,2 million,[73]
37,Atari Lynx,Atari,1989,>1 million,[note 10]
38,Philips CD-i,Philips,1991,>1 million,[note 11]
39,Telstar,Coleco,1976,>1 million,[78][note 12]
40,Atari 5200,Atari,1982,1 million,[80]
